text|keyphrases
"                                                                      
                                                                      
                                                                      
                                                                      
          LeNet-5                                                     
                                                                      
          The LeNet-5 architecture10 is perhaps the most widely known CNN architecture. As
          mentioned earlier, it was created by Yann LeCun in 1998 and has been widely used
          for handwritten digit recognition (MNIST). It is composed of the layers shown in
          Table 14-1.                                                 
                                                                      
          Table 14-1. LeNet-5 architecture                            
          Layer Type Maps Size Kernel size Stride Activation          
          Out Fully connected – 10 – – RBF                            
          F6  Fully connected – 84 – – tanh                           
          C5  Convolution 120 1 × 1 5 × 5 1 tanh                      
          S4  Avg pooling 16 5 × 5 2 × 2 2 tanh                       
          C3  Convolution 16 10 × 10 5 × 5 1 tanh                     
          S2  Avg pooling 6 14 × 14 2 × 2 2 tanh                      
                                                                      
          C1  Convolution 6 28 × 28 5 × 5 1 tanh                      
          In  Input  1  32 × 32 – –  –                                
                                                                      
          There are a few extra details to be noted:                  
           • MNIST images are 28 × 28 pixels, but they are zero-padded to 32 × 32 pixels and
            normalized before being fed to the network. The rest of the network does not use
            any padding, which is why the size keeps shrinking as the image progresses
            through the network.                                      
                                                                      
           • The average pooling layers are slightly more complex than usual: each neuron
            computes the mean of its inputs, then multiplies the result by a learnable coeffi‐
            cient (one per map) and adds a learnable bias term (again, one per map), then
            finally applies the activation function.                  
           • Most neurons in C3 maps are connected to neurons in only three or four S2
            maps (instead of all six S2 maps). See table 1 (page 8) in the original paper10 for
            details.                                                  
           • The output layer is a bit special: instead of computing the matrix multiplication
            of the inputs and the weight vector, each neuron outputs the square of the Eucli‐
            dian distance between its input vector and its weight vector. Each output meas‐
            ures how much the image belongs to a particular digit class. The cross-entropy
                                                                      
                                                                      
                                                                      
                                                                      
          10 Yann LeCun et al., “Gradient-Based Learning Applied to Document Recognition,” Proceedings of the IEEE 86,
           no. 11 (1998): 2278–2324.                                  "|LeNet-5
"                                                                      
                                                                      
                                                                      
                                                                      
          Softmax Regression                                          
                                                                      
          The Logistic Regression model can be generalized to support multiple classes directly,
          without having to train and combine multiple binary classifiers (as discussed in
          Chapter 3). This is called Softmax Regression, or Multinomial Logistic Regression.
          The idea is simple: when given an instance x, the Softmax Regression model first
          computes a score s(x) for each class k, then estimates the probability of each class by
                     k                                                
          applying the softmax function (also called the normalized exponential) to the scores.
          The equation to compute s(x) should look familiar, as it is just like the equation for
                          k                                           
          Linear Regression prediction (see Equation 4-19).           
            Equation 4-19. Softmax score for class k                  
                 ⊺ k                                                  
            s x =x θ                                                  
            k                                                         
          Note that each class has its own dedicated parameter vector θ(k). All these vectors are
          typically stored as rows in a parameter matrix Θ.           
          Once you have computed the score of every class for the instance x, you can estimate
          the probability p that the instance belongs to class k by running the scores through
                    k                                                 
          the softmax function (Equation 4-20). The function computes the exponential of
          every score, then normalizes them (dividing by the sum of all the exponentials). The
          scores are generally called logits or log-odds (although they are actually unnormal‐
          ized log-odds).                                             
            Equation 4-20. Softmax function                           
                       exp s x                                        
                          k                                           
            p =σ s x =                                                
             k     k  K                                               
                     ∑  exp s x                                       
                      j=1   j                                         
          In this equation:                                           
           • K is the number of classes.                              
           • s(x) is a vector containing the scores of each class for the instance x.
           • σ(s(x)) is the estimated probability that the instance x belongs to class k, given
                k                                                     
            the scores of each class for that instance.               
                                                                      
                                                                      
                                                                      
                                                                      "|parameter matrix; normalized exponential; Softmax Regression; Multinomial Logistic Regression; softmax function
"                                                                      
                                                                      
                                                                      
                                                                      
            >>> np.linalg.pinv(X_b).dot(y)                            
            array([[4.21509616],                                      
                [2.77011339]])                                        
          The pseudoinverse itself is computed using a standard matrix factorization technique
          called Singular Value Decomposition (SVD) that can decompose the training set
          matrix X into the matrix multiplication of three matrices U Σ V⊺ (see
          numpy.linalg.svd()). The pseudoinverse is computed as X+=VΣ+U ⊺ . To compute
          the matrix Σ+, the algorithm takes Σ and sets to zero all values smaller than a tiny
          threshold value, then it replaces all the nonzero values with their inverse, and finally
          it transposes the resulting matrix. This approach is more efficient than computing the
          Normal Equation, plus it handles edge cases nicely: indeed, the Normal Equation may
          not work if the matrix X⊺X is not invertible (i.e., singular), such as if m < n or if some
          features are redundant, but the pseudoinverse is always defined.
                                                                      
          Computational Complexity                                    
                                                                      
          The Normal Equation computes the inverse of X⊺ X, which is an (n + 1) × (n + 1)
          matrix (where n is the number of features). The computational complexity of inverting
          such a matrix is typically about O(n2.4) to O(n3), depending on the implementation. In
          other words, if you double the number of features, you multiply the computation
          time by roughly 22.4 = 5.3 to 23 = 8.                       
          The SVD approach used by Scikit-Learn’s LinearRegression class is about O(n2). If
          you double the number of features, you multiply the computation time by roughly 4.
                                                                      
                   Both the Normal Equation and the SVD approach get very slow
                   when the number of features grows large (e.g., 100,000). On the
                   positive side, both are linear with regard to the number of instances
                   in the training set (they are O(m)), so they handle large training
                   sets efficiently, provided they can fit in memory. 
                                                                      
          Also, once you have trained your Linear Regression model (using the Normal Equa‐
          tion or any other algorithm), predictions are very fast: the computational complexity
          is linear with regard to both the number of instances you want to make predictions
          on and the number of features. In other words, making predictions on twice as many
          instances (or twice as many features) will take roughly twice as much time.
          Now we will look at a very different way to train a Linear Regression model, which is
          better suited for cases where there are a large number of features or too many training
          instances to fit in memory.                                 
                                                                      
                                                                      
                                                                      
                                                                      "|Singular Value Decomposition (SVD); Linear Regression; computational complexity
"                                                                      
                                                                      
                                                                      
                                                                      
            table_init = tf.lookup.KeyValueTensorInitializer(vocab, indices)
            num_oov_buckets = 2                                       
            table = tf.lookup.StaticVocabularyTable(table_init, num_oov_buckets)
          Let’s go through this code:                                 
                                                                      
           • We first define the vocabulary: this is the list of all possible categories.
           • Then we create a tensor with the corresponding indices (0 to 4).
           • Next, we create an initializer for the lookup table, passing it the list of categories
            and their corresponding indices. In this example, we already have this data, so we
            use a KeyValueTensorInitializer; but if the categories were listed in a text file
            (with one category per line), we would use a TextFileInitializer instead.
                                                                      
           • In the last two lines we create the lookup table, giving it the initializer and speci‐
            fying the number of out-of-vocabulary (oov) buckets. If we look up a category
            that does not exist in the vocabulary, the lookup table will compute a hash of this
            category and use it to assign the unknown category to one of the oov buckets.
            Their indices start after the known categories, so in this example the indices of
            the two oov buckets are 5 and 6.                          
          Why use oov buckets? Well, if the number of categories is large (e.g., zip codes, cities,
          words, products, or users) and the dataset is large as well, or it keeps changing, then
          getting the full list of categories may not be convenient. One solution is to define the
          vocabulary based on a data sample (rather than the whole training set) and add some
          oov buckets for the other categories that were not in the data sample. The more
          unknown categories you expect to find during training, the more oov buckets you
          should use. Indeed, if there are not enough oov buckets, there will be collisions: dif‐
          ferent categories will end up in the same bucket, so the neural network will not be
          able to distinguish them (at least not based on this feature).
          Now let’s use the lookup table to encode a small batch of categorical features to one-
          hot vectors:                                                
                                                                      
            >>> categories = tf.constant([""NEAR BAY"", ""DESERT"", ""INLAND"", ""INLAND""])
            >>> cat_indices = table.lookup(categories)                
            >>> cat_indices                                           
            <tf.Tensor: id=514, shape=(4,), dtype=int64, numpy=array([3, 5, 1, 1])>
            >>> cat_one_hot = tf.one_hot(cat_indices, depth=len(vocab) + num_oov_buckets)
            >>> cat_one_hot                                           
            <tf.Tensor: id=524, shape=(4, 7), dtype=float32, numpy=   
            array([[0., 0., 0., 1., 0., 0., 0.],                      
                [0., 0., 0., 0., 0., 1., 0.],                         
                [0., 1., 0., 0., 0., 0., 0.],                         
                [0., 1., 0., 0., 0., 0., 0.]], dtype=float32)>        
          As you can see, ""NEAR BAY"" was mapped to index 3, the unknown category ""DESERT""
          was mapped to one of the two oov buckets (at index 5), and ""INLAND"" was mapped to"|vocabulary; out-of-vocabulary (oov) buckets
"                                                                      
                                                                      
                                                                      
                                                                      
          Denoising Autoencoders                                      
                                                                      
          Another way to force the autoencoder to learn useful features is to add noise to its
          inputs, training it to recover the original, noise-free inputs. This idea has been around
          since the 1980s (e.g., it is mentioned in Yann LeCun’s 1987 master’s thesis). In a 2008
          paper,5 Pascal Vincent et al. showed that autoencoders could also be used for feature
          extraction. In a 2010 paper,6 Vincent et al. introduced stacked denoising autoencoders.
                                                                      
          The noise can be pure Gaussian noise added to the inputs, or it can be randomly
          switched-off inputs, just like in dropout (introduced in Chapter 11). Figure 17-8
          shows both options.                                         
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
          Figure 17-8. Denoising autoencoders, with Gaussian noise (left) or dropout (right)
          The implementation is straightforward: it is a regular stacked autoencoder with an
          additional Dropout layer applied to the encoder’s inputs (or you could use a Gaus
          sianNoise layer instead). Recall that the Dropout layer is only active during training
                                                                      
          (and so is the GaussianNoise layer):                        
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
          5 Pascal Vincent et al., “Extracting and Composing Robust Features with Denoising Autoencoders,” Proceedings
           of the 25th International Conference on Machine Learning (2008): 1096–1103.
          6 Pascal Vincent et al., “Stacked Denoising Autoencoders: Learning Useful Representations in a Deep Network
           with a Local Denoising Criterion,” Journal of Machine Learning Research 11 (2010): 3371–3408."|stacked denoising autoencoders; denoising; denoising autoencoders
"                                                                      
                                                                      
                                                                      
                                                                      
                   If you deploy your application to a virtual machine on Google
                   Cloud Engine (GCE), or within a container using Google Cloud
                   Kubernetes Engine, or as a web application on Google Cloud App
                   Engine, or as a microservice on Google Cloud Functions, and if the
                   GOOGLE_APPLICATION_CREDENTIALS environment variable is not
                   set, then the library will use the default service account for the host
                   service (e.g., the default GCE service account, if your application
                   runs on GCE).                                      
                                                                      
          Next, you must create a resource object that wraps access to the prediction service:7
            import googleapiclient.discovery                          
                                                                      
            project_id = ""onyx-smoke-242003"" # change this to your project ID
            model_id = ""my_mnist_model""                               
            model_path = ""projects/{}/models/{}"".format(project_id, model_id)
            ml_resource = googleapiclient.discovery.build(""ml"", ""v1"").projects()
          Note that you can append /versions/0001 (or any other version number) to the
          model_path to specify the version you want to query: this can be useful for A/B test‐
          ing or for testing a new version on a small group of users before releasing it widely
          (this is called a canary). Next, let’s write a small function that will use the resource
          object to call the prediction service and get the predictions back:
            def predict(X):                                           
               input_data_json = {""signature_name"": ""serving_default"",
                          ""instances"": X.tolist()}                    
               request = ml_resource.predict(name=model_path, body=input_data_json)
               response = request.execute()                           
               if ""error"" in response:                                
                 raise RuntimeError(response[""error""])                
               return np.array([pred[output_name] for pred in response[""predictions""]])
          The function takes a NumPy array containing the input images and prepares a dictio‐
          nary that the client library will convert to the JSON format (as we did earlier). Then it
          prepares a prediction request, and executes it; it raises an exception if the response
          contains an error, or else it extracts the predictions for each instance and bundles
          them in a NumPy array. Let’s see if it works:               
            >>> Y_probas = predict(X_new)                             
            >>> np.round(Y_probas, 2)                                 
            array([[0. , 0. , 0. , 0. , 0. , 0. , 0. , 1. , 0. , 0. ],
                [0. , 0. , 0.99, 0.01, 0. , 0. , 0. , 0. , 0. , 0. ], 
                [0. , 0.96, 0.01, 0. , 0. , 0. , 0. , 0.01, 0.01, 0. ]])
                                                                      
          7 If you get an error saying that module google.appengine was not found, set cache_discovery=False in the
           call to the build() method; see https://stackoverflow.com/q/55561354."|canary testing
"                                                                      
                                                                      
                                                                      
                                                                      
            2015 by Sébastien Jean et al..11 In TensorFlow you can use the tf.nn.sam
            pled_softmax_loss() function for this during training and use the normal soft‐
            max function at inference time (sampled softmax cannot be used at inference
            time because it requires knowing the target).             
                                                                      
          The TensorFlow Addons project includes many sequence-to-sequence tools to let you
          easily build production-ready Encoder–Decoders. For example, the following code
          creates a basic Encoder–Decoder model, similar to the one represented in
          Figure 16-3:                                                
            import tensorflow_addons as tfa                           
                                                                      
            encoder_inputs = keras.layers.Input(shape=[None], dtype=np.int32)
            decoder_inputs = keras.layers.Input(shape=[None], dtype=np.int32)
            sequence_lengths = keras.layers.Input(shape=[], dtype=np.int32)
            embeddings = keras.layers.Embedding(vocab_size, embed_size)
            encoder_embeddings = embeddings(encoder_inputs)           
            decoder_embeddings = embeddings(decoder_inputs)           
            encoder = keras.layers.LSTM(512, return_state=True)       
            encoder_outputs, state_h, state_c = encoder(encoder_embeddings)
            encoder_state = [state_h, state_c]                        
            sampler = tfa.seq2seq.sampler.TrainingSampler()           
                                                                      
            decoder_cell = keras.layers.LSTMCell(512)                 
            output_layer = keras.layers.Dense(vocab_size)             
            decoder = tfa.seq2seq.basic_decoder.BasicDecoder(decoder_cell, sampler,
                                         output_layer=output_layer)   
            final_outputs, final_state, final_sequence_lengths = decoder(
               decoder_embeddings, initial_state=encoder_state,       
               sequence_length=sequence_lengths)                      
            Y_proba = tf.nn.softmax(final_outputs.rnn_output)         
            model = keras.Model(inputs=[encoder_inputs, decoder_inputs, sequence_lengths],
                        outputs=[Y_proba])                            
          The code is mostly self-explanatory, but there are a few points to note. First, we set
          return_state=True when creating the LSTM layer so that we can get its final hidden
          state and pass it to the decoder. Since we are using an LSTM cell, it actually returns
          two hidden states (short term and long term). The TrainingSampler is one of several
          samplers available in TensorFlow Addons: their role is to tell the decoder at each step
          what it should pretend the previous output was. During inference, this should be the
                                                                      
          11 Sébastien Jean et al., “On Using Very Large Target Vocabulary for Neural Machine Translation,” Proceedings of
           the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Con‐
           ference on Natural Language Processing of the Asian Federation of Natural Language Processing 1 (2015): 1–10."|TensorFlow Addons
"                                                                      
                                                                      
                                                                      
                                                                      
          that correspond to all the all the necessary statistics computed by Apache Beam (the
          mean, standard deviation, and vocabulary).                  
                                                                      
          With the Data API, TFRecords, the Keras preprocessing layers, and TF Transform,
          you can build highly scalable input pipelines for training and benefit from fast and
          portable data preprocessing in production.                  
          But what if you just wanted to use a standard dataset? Well in that case, things are
          much simpler: just use TFDS!                                
                                                                      
          The TensorFlow Datasets (TFDS) Project                      
                                                                      
          The TensorFlow Datasets project makes it very easy to download common datasets,
          from small ones like MNIST or Fashion MNIST to huge datasets like ImageNet (you
          will need quite a bit of disk space!). The list includes image datasets, text datasets
          (including translation datasets), and audio and video datasets. You can visit https://
          homl.info/tfds to view the full list, along with a description of each dataset.
          TFDS is not bundled with TensorFlow, so you need to install the tensorflow-
          datasets library (e.g., using pip). Then call the tfds.load() function, and it will
          download the data you want (unless it was already downloaded earlier) and return
          the data as a dictionary of datasets (typically one for training and one for testing, but
          this depends on the dataset you choose). For example, let’s download MNIST:
                                                                      
            import tensorflow_datasets as tfds                        
            dataset = tfds.load(name=""mnist"")                         
            mnist_train, mnist_test = dataset[""train""], dataset[""test""]
          You can then apply any transformation you want (typically shuffling, batching, and
          prefetching), and you’re ready to train your model. Here is a simple example:
                                                                      
            mnist_train = mnist_train.shuffle(10000).batch(32).prefetch(1)
            for item in mnist_train:                                  
               images = item[""image""]                                 
               labels = item[""label""]                                 
               [...]                                                  
                   The load() function shuffles each data shard it downloads (only
                   for the training set). This may not be sufficient, so it’s best to shuf‐
                   fle the training data some more.                   
                                                                      
                                                                      
          Note that each item in the dataset is a dictionary containing both the features and the
          labels. But Keras expects each item to be a tuple containing two elements (again, the
          features and the labels). You could transform the dataset using the map() method, like
          this:                                                       "|TF Datasets (TFDS); TensorFlow Datasets (TFDS) Project
"                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
          Figure 9-10. Analyzing the silhouette diagrams for various values of k
                                                                      
          The vertical dashed lines represent the silhouette score for each number of clusters.
          When most of the instances in a cluster have a lower coefficient than this score (i.e., if
          many of the instances stop short of the dashed line, ending to the left of it), then the
          cluster is rather bad since this means its instances are much too close to other clus‐
          ters. We can see that when k = 3 and when k = 6, we get bad clusters. But when k = 4
          or k = 5, the clusters look pretty good: most instances extend beyond the dashed line,
          to the right and closer to 1.0. When k = 4, the cluster at index 1 (the third from the
          top) is rather big. When k = 5, all clusters have similar sizes. So, even though the
          overall silhouette score from k = 4 is slightly greater than for k = 5, it seems like a
          good idea to use k = 5 to get clusters of similar sizes.    
          Limits of K-Means                                           
                                                                      
          Despite its many merits, most notably being fast and scalable, K-Means is not perfect.
          As we saw, it is necessary to run the algorithm several times to avoid suboptimal solu‐
          tions, plus you need to specify the number of clusters, which can be quite a hassle.
          Moreover, K-Means does not behave very well when the clusters have varying sizes,
                                                                      "|K-Means
"                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
          Figure 15-9. LSTM cell                                      
                                                                      
          Now let’s open the box! The key idea is that the network can learn what to store in the
          long-term state, what to throw away, and what to read from it. As the long-term state
          c  traverses the network from left to right, you can see that it first goes through a
           (t–1)                                                      
          forget gate, dropping some memories, and then it adds some new memories via the
          addition operation (which adds the memories that were selected by an input gate).
          The result c is sent straight out, without any further transformation. So, at each time
                 (t)                                                  
          step, some memories are dropped and some memories are added. Moreover, after the
          addition operation, the long-term state is copied and passed through the tanh func‐
          tion, and then the result is filtered by the output gate. This produces the short-term
          state h (which is equal to the cell’s output for this time step, y ). Now let’s look at
              (t)                               (t)                   
          where new memories come from and how the gates work.        
          First, the current input vector x and the previous short-term state h are fed to
                             (t)                    (t–1)             
          four different fully connected layers. They all serve a different purpose:
           • The main layer is the one that outputs g . It has the usual role of analyzing the
                                    (t)                               
            current inputs x and the previous (short-term) state h . In a basic cell, there is
                      (t)                   (t–1)                     
            nothing other than this layer, and its output goes straight out to y and h . In
                                                    (t)  (t)          
            contrast, in an LSTM cell this layer’s output does not go straight out, but instead
            its most important parts are stored in the long-term state (and the rest is
            dropped).                                                 
           • The three other layers are gate controllers. Since they use the logistic activation
            function, their outputs range from 0 to 1. As you can see, their outputs are fed to"|gate controllers; output gate; input gate; forget gate
"                                                                      
                                                                      
                                                                      
                                                                      
          When the cost function is very irregular (as in Figure 4-6), this can actually help the
          algorithm jump out of local minima, so Stochastic Gradient Descent has a better
          chance of finding the global minimum than Batch Gradient Descent does.
                                                                      
          Therefore, randomness is good to escape from local optima, but bad because it means
          that the algorithm can never settle at the minimum. One solution to this dilemma is
          to gradually reduce the learning rate. The steps start out large (which helps make
          quick progress and escape local minima), then get smaller and smaller, allowing the
          algorithm to settle at the global minimum. This process is akin to simulated anneal‐
          ing, an algorithm inspired from the process in metallurgy of annealing, where molten
          metal is slowly cooled down. The function that determines the learning rate at each
          iteration is called the learning schedule. If the learning rate is reduced too quickly, you
          may get stuck in a local minimum, or even end up frozen halfway to the minimum. If
          the learning rate is reduced too slowly, you may jump around the minimum for a
          long time and end up with a suboptimal solution if you halt training too early.
          This code implements Stochastic Gradient Descent using a simple learning schedule:
            n_epochs = 50                                             
            t0, t1 = 5, 50 # learning schedule hyperparameters        
            def learning_schedule(t):                                 
               return t0 / (t + t1)                                   
                                                                      
            theta = np.random.randn(2,1) # random initialization      
            for epoch in range(n_epochs):                             
               for i in range(m):                                     
                 random_index = np.random.randint(m)                  
                 xi = X_b[random_index:random_index+1]                
                 yi = y[random_index:random_index+1]                  
                 gradients = 2 * xi.T.dot(xi.dot(theta) - yi)         
                 eta = learning_schedule(epoch * m + i)               
                 theta = theta - eta * gradients                      
          By convention we iterate by rounds of m iterations; each round is called an epoch.
          While the Batch Gradient Descent code iterated 1,000 times through the whole train‐
          ing set, this code goes through the training set only 50 times and reaches a pretty
          good solution:                                              
            >>> theta                                                 
            array([[4.21076011],                                      
                [2.74856079]])                                        
          Figure 4-10 shows the first 20 steps of training (notice how irregular the steps are).
                                                                      
                                                                      
                                                                      
                                                                      "|learning schedules; epochs; simulated annealing
"                                                                      
                                                                      
                                                                      
                                                                      
          Chaining Transformations                                    
                                                                      
          Once you have a dataset, you can apply all sorts of transformations to it by calling its
          transformation methods. Each method returns a new dataset, so you can chain trans‐
          formations like this (this chain is illustrated in Figure 13-1):
            >>> dataset = dataset.repeat(3).batch(7)                  
            >>> for item in dataset:                                  
            ...  print(item)                                          
            ...                                                       
            tf.Tensor([0 1 2 3 4 5 6], shape=(7,), dtype=int32)       
            tf.Tensor([7 8 9 0 1 2 3], shape=(7,), dtype=int32)       
            tf.Tensor([4 5 6 7 8 9 0], shape=(7,), dtype=int32)       
            tf.Tensor([1 2 3 4 5 6 7], shape=(7,), dtype=int32)       
            tf.Tensor([8 9], shape=(2,), dtype=int32)                 
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
          Figure 13-1. Chaining dataset transformations               
                                                                      
          In this example, we first call the repeat() method on the original dataset, and it
          returns a new dataset that will repeat the items of the original dataset three times. Of
          course, this will not copy all the data in memory three times! (If you call this method
          with no arguments, the new dataset will repeat the source dataset forever, so the code
          that iterates over the dataset will have to decide when to stop.) Then we call the
          batch() method on this new dataset, and again this creates a new dataset. This one
          will group the items of the previous dataset in batches of seven items. Finally, we iter‐
          ate over the items of this final dataset. As you can see, the batch() method had to
          output a final batch of size two instead of seven, but you can call it with drop_remain
          der=True if you want it to drop this final batch so that all batches have the exact same
          size.                                                       
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      "|chaining transformations; chaining
